inv_index,x,y,predinstance,nn_dist_m,tile_name,note
327,416708.2019,5346680.876,2116,0.004428317704860571,tile_101.laz,ok
328,416706.892255902,5346682.13158061,-1,0.0027545274639847396,tile_101.laz,ok
329,416706.556,5346682.565,2118,0.006403124159763537,tile_101.laz,ok
330,416701.4877,5346682.196,1963,0.004614108555467759,tile_101.laz,ok
331,416701.176462633,5346683.43333995,1963,0.004865000630381076,tile_101.laz,ok
332,416699.2697,5346686.347,1963,0.0030149631770520348,tile_101.laz,ok
333,416695.7382,5346687.217,1965,0.0034985707440586345,tile_101.laz,ok
334,416694.187408874,5346689.68325038,1962,0.004156790165539063,tile_101.laz,ok
335,416691.8611,5346685.765,1959,0.005119570184038881,tile_101.laz,ok
336,416689.3734,5346682.568,1815,0.003944616739558747,tile_101.laz,ok
337,416684.7213,5346680.958,1811,0.00238537233344479,tile_101.laz,ok
338,416683.8952,5346682.556,1811,0.006248200156742544,tile_101.laz,ok
339,416685.5984,5346685.568,1810,0.0025612499620741294,tile_101.laz,ok
340,416686.6574,5346684.312,1809,0.0032802435310229816,tile_101.laz,ok
341,416687.1842,5346686.484,1958,0.00579999982788838,tile_101.laz,ok
342,416685.5214,5346688.369,1810,0.0017204651554257448,tile_101.laz,ok
343,416681.2289,5346689.02,1807,0.0010999999940399297,tile_101.laz,ok
344,416691.301580356,5346691.80523988,2108,0.014844482574795271,tile_101.laz,ok
345,416691.294340475,5346691.83419941,2108,0.008104138852492582,tile_101.laz,ok
346,416688.4225,5346692.491,1961,0.0026925824666047104,tile_101.laz,ok
347,416692.25024769,5346693.94482955,2105,0.004835896619350753,tile_101.laz,ok
348,416689.5775,5346695.725,1956,0.005590169844830697,tile_101.laz,ok
349,416684.06594073,5346695.87257373,1957,0.004806428677500009,tile_101.laz,ok
350,416686.0792,5346696.343,1956,0.0031048354241774065,tile_101.laz,ok
351,416683.9472,5346700.336,2102,0.0048826220299612024,tile_113.laz,ok
352,416696.8631,5346694.661,2110,0.003257299574640256,tile_101.laz,ok
353,416697.7434,5346692.026,2110,0.005249762390424348,tile_101.laz,ok
354,416702.213127032,5346689.41139187,2111,0.0034228103787349853,tile_101.laz,ok
355,416702.8321,5346687.605,2113,0.005423098635687543,tile_101.laz,ok
356,416706.334829067,5346690.68935962,2264,0.004871342186163289,tile_101.laz,ok
357,416705.079840475,5346692.57023988,2260,0.00028808082639320497,tile_101.laz,ok
358,416705.913166957,5346695.15206186,2262,0.0037790053880607443,tile_101.laz,ok
359,416710.5294,5346691.033,2267,0.003059411282696857,tile_101.laz,ok
